Location,zip_code
"(41.894958, -87.764902)",60651
"(41.792822, -87.664429)",60636
"(41.756971, -87.624621)",60619
"(42.016977, -87.677725)",60626
"(41.86649278172, -87.7064961757)",60624
"(41.76550800581, -87.616917925)",60619
"(41.82301523798, -87.6265680185)",60609
"(41.743921, -87.575225)",60617
"(41.8492, -87.67564)",60608
"(41.743441, -87.604836)",60619
"(41.886841, -87.745261)",60644
"(41.81665889302, -87.6194124619)",60653
"(41.887832, -87.755527)",60644
"(42.012342, -87.688243)",60645
"(41.743316, -87.622849)",60619
"(41.78008063659, -87.6159428567)",60637
"(41.90976930169, -87.7052804871)",60612
"(41.7586696704, -87.586882871)",60619
"(41.99416136902, -87.689438282)",60659
"(41.76663823695, -87.5764501141)",60649
"(41.77372095205, -87.60563486)",60637
"(41.80183164049, -87.645213904)",60609
"(41.75182, -87.565211)",60617
"(41.79292964599, -87.6449900565)",60621
"(41.89546530305, -87.7061278837)",60612
"(41.84910969176, -87.6951398068)",60608
"(41.753174, -87.605026)",60619
"(41.98239708485, -87.7089225202)",60625
"(41.7664094567, -87.5656875719)",60649
"(41.96108, -87.73569)",60630
"(41.794228, -87.655073)",60636
"(41.803038, -87.606615)",60615
"(41.961068, -87.695439)",60618
"(41.816499, -87.606582)",60653
"(41.799659, -87.657195)",60609
"(41.751731, -87.552812)",60617
"(41.872993, -87.764499)",60644
"(42.015963, -87.675005)",60626
"(41.877613, -87.745405)",60644
"(41.77345849948, -87.5853397391)",60649
"(41.84456684891, -87.7159103081)",60623
"(42.023463, -87.699595)",60202
"(41.758361, -87.614138)",60619
"(41.809851, -87.616279)",60653
"(41.991178, -87.683593)",60659
"(41.85491457576575, -87.66355991363525)",60608
"(41.796642, -87.625923)",60609
"(41.903029, -87.697474)",60622
"(41.86650148316, -87.68469707)",60608
"(41.84151770807, -87.6851314409)",60608
"(42.064313, -87.686152)",60201
"(41.965875, -87.700825)",60625
"(41.880281, -87.774453)",60644
"(41.809855, -87.606755)",60615
"(41.95216219326, -87.698051113)",60618
"(41.894887, -87.774704)",60651
"(41.894745, -87.756895)",60644
"(41.750794, -87.624424)",60621
"(42.01256011541, -87.6743671152)",60626
"(41.736646, -87.622634)",60619
"(42.015962, -87.66857)",60626
"(41.75712006802, -87.5758393587)",60612
"(41.81409271048, -87.5970051479)",60653
"(41.79156801058, -87.6078521774)",60637
"(42.0085943972, -87.6904922389)",60645
"(42.012701, -87.666058)",60626
"(41.76571903697, -87.604959713)",60619
"(41.805772, -87.592464)",60615
"(41.758768, -87.56644)",60649
"(41.76929308995, -87.6281959291)",60621
"(41.80229465088, -87.6180535802)",60615
"(41.823465, -87.665577)",60609
"(41.954468, -87.749594)",60641
"(41.854063503874464, -87.71511733531952)",60623
"(41.780595, -87.584846)",60649
"(41.99925182186, -87.6713773393)",60626
"(41.90270659438, -87.709219571)",60651
"(41.98039423475, -87.7161149615)",60625
"(41.7804056457, -87.5914159893)",60637
"(41.88085, -87.727907)",60624
"(41.880121, -87.763238)",60644
"(41.78007963264, -87.6297463052)",60621
"(41.786833, -87.666215)",60636
"(41.880207, -87.755337)",60644
"(41.96668636205, -87.7080519806)",60625
"(41.958494, -87.654966)",60613
"(41.778881, -87.586647)",60637
"(42.01058656284, -87.6624120948)",60626
"(42.039742, -87.699413)",60202
"(41.8246, -87.61678)",60653
"(41.961041, -87.705866)",60618
"(41.9406, -87.6785)",60618
"(42.001785, -87.688829)",60645
"(41.831379, -87.618034)",60616
"(41.8481, -87.715068)",60623
"(41.836208, -87.613533)",60616
"(41.93132, -87.638742)",60614
"(42.025784, -87.684107)",60202
"(41.80813391481, -87.6456165545)",60609
"(41.875679, -87.71547)",60624
"(41.899181, -87.6722)",60622
"(41.7664929373, -87.5864608775)",60649
"(41.8538040657915, -87.69574239850043)",60608
"(41.948797, -87.675278)",60613
"(42.00454962194, -87.6806661451)",60645
"(41.79342945658, -87.6158532619)",60637
"(41.96590013976, -87.6936384935)",60625
"(42.063598, -87.69873)",60201
"(41.87474885079, -87.6864452757)",60612
"(41.92669, -87.697668)",60647
"(41.939408, -87.723574)",60618
"(41.822985, -87.6071)",60653
"(41.946264, -87.731023)",60641
"(41.826712, -87.683144)",60609
"(42.041691, -87.680687)",60201
"(41.88460328501, -87.7063037436)",60624
"(41.961004, -87.649603)",60613
"(41.96110801623, -87.7289701012)",60630
"(42.0208872805206, -87.66505792737007)",60626
"(41.83920868403, -87.6656098589)",60608
"(41.9716, -87.650154)",60640
"(41.93533728263, -87.7168892935)",60618
"(41.952833, -87.649993)",60613
"(41.85353363213, -87.7050730318)",60623
"(41.887919, -87.774446)",60644
"(41.921822, -87.64414)",60614
"(41.77351755125, -87.5771428255)",60649
"(41.84819094491, -87.7054137458)",60612
"(41.9840446107, -87.6602738295)",60660
"(41.957879, -87.649519)",60613
"(42.004583, -87.661406)",60626
"(41.865234, -87.666507)",60612
"(41.96167, -87.65464)",60613
"(41.936083, -87.669807)",60657
"(41.845687, -87.622481)",60616
"(41.823192, -87.676597)",60609
"(42.058239, -87.677432)",60208
"(41.773643, -87.567514)",60649
"(41.91044, -87.6972)",60647
"(41.83069611252, -87.6559759116)",60608
"(41.866624, -87.694521)",60612
"(41.968987, -87.696027)",60625
"(41.912919, -87.664169)",60642
"(41.87359967462, -87.7048707493)",60612
"(41.855048, -87.675726)",60608
"(41.83010465416, -87.6702983089)",60609
"(41.82879201994, -87.6806044594)",60609
"(41.9366884494997, -87.63682901859283)",60657
"(41.96325, -87.679258)",60625
"(42.019537, -87.669563)",60626
"(41.746559, -87.586005)",60617
"(41.90348607004, -87.6433534936)",60610
"(41.95078, -87.659172)",60613
"(41.907626, -87.638566)",60610
"(41.973815, -87.65966)",60640
"(41.841707, -87.626938)",60616
"(41.931248, -87.644336)",60614
"(41.91021, -87.6435)",60610
"(41.9466358306, -87.694614758)",60618
"(41.868563, -87.686234)",60612
"(41.9947796884, -87.6602845349)",60660
"(41.849527, -87.640591)",60616
"(41.907993, -87.631501)",60610
"(41.943034, -87.687288)",60618
"(41.92463247165, -87.6893070063)",60647
"(41.929465, -87.684158)",60647
"(41.94947274088333, -87.64645278453827)",60613
"(41.857499, -87.646277)",60612
"(41.949399, -87.654529)",60613
"(41.913688, -87.652855)",60614
"(41.895501, -87.682017)",60612
"(41.9364968219, -87.6475386582)",60657
"(41.885409, -87.726491)",60624
"(41.967096, -87.667429)",60640
